section,entity,metric,value
run,,reporting_year,2026
run,,status,PASSED
source,BSNY,ytd_row_count,134
master,BSNY,ytd_row_count,87
source,BSNY,in_scope_gross_total,3922447.05
master,BSNY,in_scope_gross_total,2439215.15
source,SANCAP,ytd_row_count,3052
master,SANCAP,ytd_row_count,2518
source,SANCAP,in_scope_gross_total,13900212.96
master,SANCAP,in_scope_gross_total,11596611.42
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:281; Document ID=2773636
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:295; Document ID=2846093
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:322; Document ID=2926866
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:362; Document ID=3033241
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:363; Document ID=3033261
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:365; Document ID=3033435
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:367; Document ID=3047311
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:368; Document ID=3050410
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:369; Document ID=3055106
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:370; Document ID=3060338
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:371; Document ID=3060551
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:372; Document ID=3062417
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:373; Document ID=3062424
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:374; Document ID=3062432
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:375; Document ID=3062438
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:376; Document ID=3062909
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:377; Document ID=3062942
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:378; Document ID=3063098
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:379; Document ID=3063202
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:380; Document ID=3066192
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:381; Document ID=3066197
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:382; Document ID=3066203
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:383; Document ID=3071600
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:384; Document ID=3075400
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:385; Document ID=3078766
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:386; Document ID=3079323
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:387; Document ID=3079330
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:388; Document ID=3079335
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:389; Document ID=3079338
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:390; Document ID=3079356
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:391; Document ID=3079474
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:392; Document ID=3079611
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:393; Document ID=3079671
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:394; Document ID=3079675
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:396; Document ID=3090790
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:397; Document ID=3090793
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:398; Document ID=3092672
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:400; Document ID=3099677
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:401; Document ID=3104023
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:402; Document ID=3113976
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:403; Document ID=3114582
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:404; Document ID=3114718
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:405; Document ID=3114775
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:406; Document ID=3114973
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:407; Document ID=3114979
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:408; Document ID=3115123
new,BSNY,source_row,BSNY - SAP & Concur Repoort May 2025 - June 2026.xlsx:409; Document ID=3115164
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:3; Document ID=3046842
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:4; Document ID=3106229
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:5; Document ID=3111461
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:6; Document ID=3119515
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:7; Document ID=3119769
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:8; Document ID=3120147
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:13; Document ID=3106104
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:14; Document ID=3115252
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:15; Document ID=3117470
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:16; Document ID=3119342
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:17; Document ID=3119478
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:21; Document ID=3119655
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:22; Document ID=3119664
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:25; Document ID=3106141
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:26; Document ID=3110803
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:27; Document ID=3115084
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:29; Document ID=2777031
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:30; Document ID=2786852
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:31; Document ID=3009759
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:32; Document ID=3040569
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:33; Document ID=3046713
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:34; Document ID=3050641
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:35; Document ID=3069027
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:36; Document ID=3069422
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:37; Document ID=3075074
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:40; Document ID=3084565
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:42; Document ID=3092667
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:43; Document ID=3107572
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:44; Document ID=3107799
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:45; Document ID=3108032
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:46; Document ID=3108057
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:47; Document ID=3110043
new,SANCAP,source_row,SanCap - VIM STATUS REPORT 2026-07-01 8.49 AM.xlsx:48; Document ID=3110307
